free=1, 3343668
free=0, 107395
genre=Education, 386518
genre=Business, 249219
genre=Tools, 235917
genre=Music & Audio, 216562
genre=Entertainment, 210275
genre=Lifestyle, 164700
genre=Shopping, 160889
genre=Productivity, 147613
genre=Books & Reference, 142158
genre=Food & Drink, 124373
genre=Finance, 105199
genre=Personalization, 99642
genre=Travel & Local, 89928
genre=Casual, 86500
genre=Communication, 80046
genre=Arcade, 78113
genre=Puzzle, 76493
genre=Sports, 70534
genre=Social, 69301
genre=News & Magazines, 52526
genre=Medical, 51940
genre=Maps & Navigation, 42378
genre=Action, 42229
genre=Photography, 41199
genre=Health & Fitness, 37912
genre=Auto & Vehicles, 36557
genre=Simulation, 34938
genre=Adventure, 32070
genre=Educational, 31749
genre=Art & Design, 26017
genre=Beauty, 23224
genre=Events, 21994
genre=Trivia, 18133
genre=Role Playing, 16815
genre=Video Players & Editors, 16813
genre=Strategy, 15116
genre=Board, 14853
genre=Racing, 14562
genre=Word, 14162
genre=Card, 11448
genre=Weather, 9618
genre=Dating, 9530
genre=House & Home, 9075
genre=Casino, 8476
genre=Music, 7544
genre=Libraries & Demo, 6917
genre=Parenting, 5986
genre=Comics, 3302
releasedYear=2021, 717334
releasedYear=2020, 697723
releasedYear=2022, 587039
releasedYear=2019, 515625
releasedYear=2018, 299233
releasedYear=2017, 218829
releasedYear=2016, 145810
releasedYear=2015, 105278
releasedYear=2014, 72689
releasedYear=2013, 44894
releasedYear=2012, 26854
releasedYear=2011, 14923
releasedYear=2010, 4727
releasedYear=2009, 105
free=1; genre=Education, 371491
free=1; genre=Business, 247430
free=1; genre=Tools, 227108
free=1; genre=Music & Audio, 213416
free=1; genre=Entertainment, 205872
free=1; genre=Lifestyle, 161959
free=1; genre=Shopping, 160615
free=1; genre=Productivity, 143604
free=1; genre=Books & Reference, 133487
free=1; genre=Food & Drink, 123742
free=1; genre=Finance, 103708
free=1; genre=Travel & Local, 87419
free=1; genre=Casual, 84637
free=1; genre=Personalization, 80108
free=1; genre=Communication, 78891
free=1; genre=Arcade, 75968
free=1; genre=Puzzle, 73499
free=1; genre=Social, 68772
free=1; genre=Sports, 67702
free=1; genre=News & Magazines, 52314
free=1; genre=Medical, 49660
free=1; genre=Maps & Navigation, 40922
free=1; genre=Action, 40752
free=1; genre=Photography, 40105
free=1; genre=Auto & Vehicles, 35882
free=1; genre=Health & Fitness, 35283
free=1; genre=Simulation, 33808
free=1; genre=Adventure, 30124
free=1; genre=Educational, 29253
free=1; genre=Art & Design, 25253
free=1; genre=Beauty, 23143
free=1; genre=Events, 21917
free=0; genre=Personalization, 19534
free=1; genre=Trivia, 17771
free=1; genre=Video Players & Editors, 16246
free=1; genre=Role Playing, 15779
free=0; genre=Education, 15027
free=1; genre=Strategy, 14275
free=1; genre=Racing, 14216
free=1; genre=Board, 14101
